epoch,datetime,direction,speed_kmh,dist_m,angle_deg,snr
1756321356,2025-08-27 21:02:36,away,4,2,-27,255
1756321358,2025-08-27 21:02:38,away,3,4,-18,255
1756322566,2025-08-27 21:22:46,approach,3,4,-11,215
1756322568,2025-08-27 21:22:48,approach,3,3,28,255
1756323388,2025-08-27 21:36:28,away,3,2,6,255
1756323664,2025-08-27 21:41:04,approach,3,4,-17,189
1756323666,2025-08-27 21:41:06,approach,3,2,-55,154
1756323675,2025-08-27 21:41:15,away,3,4,-39,207
1756323923,2025-08-27 21:45:23,away,3,2,-65,171
1756324234,2025-08-27 21:50:34,away,3,4,27,197
1756324236,2025-08-27 21:50:36,approach,3,2,-19,255
1756324942,2025-08-27 22:02:22,away,3,2,-25,255
1756324944,2025-08-27 22:02:24,away,4,3,-20,255
1756324952,2025-08-27 22:02:32,approach,3,4,-25,255
1756324958,2025-08-27 22:02:38,away,3,2,-20,200
1756324960,2025-08-27 22:02:40,away,4,4,-25,255
1756324961,2025-08-27 22:02:41,away,3,4,-27,255
1756324976,2025-08-27 22:02:56,approach,3,4,-24,255
1756324980,2025-08-27 22:03:00,away,3,3,3,255
1756324981,2025-08-27 22:03:01,away,3,4,-15,255
1756325077,2025-08-27 22:04:37,approach,3,5,-35,172
1756325079,2025-08-27 22:04:39,approach,3,4,-79,255
1756325083,2025-08-27 22:04:43,approach,3,4,60,184
1756325086,2025-08-27 22:04:46,away,3,2,-7,255
1756325091,2025-08-27 22:04:51,approach,3,2,-31,166
1756325574,2025-08-27 22:12:54,away,3,3,34,255
1756325577,2025-08-27 22:12:57,approach,3,2,69,255
1756325598,2025-08-27 22:13:18,away,3,3,-25,152
1756325600,2025-08-27 22:13:20,away,3,4,54,255
1756325744,2025-08-27 22:15:44,approach,3,4,-23,255
1756325746,2025-08-27 22:15:46,approach,3,2,-31,255
1756326015,2025-08-27 22:20:15,approach,3,4,-30,255
1756326016,2025-08-27 22:20:16,approach,3,3,-19,255
1756326018,2025-08-27 22:20:18,approach,3,2,-27,255
1756326027,2025-08-27 22:20:27,away,3,2,-51,212
1756326033,2025-08-27 22:20:33,approach,3,2,-29,151
1756326035,2025-08-27 22:20:35,approach,3,3,26,152
1756326041,2025-08-27 22:20:41,away,3,4,-45,255
1756326042,2025-08-27 22:20:42,away,3,3,-37,255
1756326044,2025-08-27 22:20:44,away,3,4,-27,255
1756327983,2025-08-27 22:53:03,approach,3,2,6,219
1756327985,2025-08-27 22:53:05,away,3,2,-6,217
1756327987,2025-08-27 22:53:07,away,3,3,5,255
1756329053,2025-08-27 23:10:53,approach,3,2,16,255
1756329200,2025-08-27 23:13:20,away,3,2,-2,255
1756329402,2025-08-27 23:16:42,away,3,3,-53,255
1756329404,2025-08-27 23:16:44,approach,3,4,-35,255
1756330869,2025-08-27 23:41:09,away,5,3,-30,255
1756330870,2025-08-27 23:41:10,approach,3,4,-30,255
1756330872,2025-08-27 23:41:12,approach,4,2,-17,255
1756331479,2025-08-27 23:51:19,away,3,3,-29,255
1756331497,2025-08-27 23:51:37,approach,3,3,-29,255
1756331498,2025-08-27 23:51:38,approach,3,2,-20,255
1756332415,2025-08-28 00:06:55,away,3,3,-28,255
1756332612,2025-08-28 00:10:12,away,3,2,-27,255
1756333886,2025-08-28 00:31:26,away,3,2,1,255
1756333888,2025-08-28 00:31:28,approach,3,2,-27,255
1756333965,2025-08-28 00:32:45,away,4,2,-5,255
1756333968,2025-08-28 00:32:48,approach,3,2,-19,255
